Temp,scan1(subtrac baseline),scan2(subtrac baseline),scan3(subtrac baseline)
35.64676,7.97E-05,1.94E-05,-3.09E-05
35.85519,8.12E-05,4.20E-05,-6.47E-05
36.06467,7.23E-05,6.41E-05,-8.82E-05
36.27523,6.32E-05,3.56E-05,-9.13E-05
36.48287,3.46E-05,3.78E-05,-7.03E-05
36.69087,5.58E-05,5.95E-05,-8.81E-05
36.9001,8.65E-05,4.03E-05,-8.55E-05
37.10911,8.72E-05,3.08E-05,-6.10E-05
37.31728,8.78E-05,1.10E-05,-6.41E-05
37.525,4.84E-05,3.07E-05,-3.51E-05
37.73457,4.82E-05,-1.08E-05,1.42E-05
37.94307,8.81E-05,-6.27E-05,6.62E-05
38.14674,7.89E-05,-9.37E-05,1.54E-04
38.35427,5.84E-05,-1.07E-04,1.50E-04
38.56351,7.71E-05,-1.22E-04,1.47E-04
38.77112,4.60E-05,-1.27E-04,2.16E-04
38.98079,7.39E-05,-1.53E-04,1.86E-04
39.19075,7.14E-05,-1.91E-04,1.87E-04
39.39998,4.86E-05,-1.90E-04,2.00E-04
39.60744,3.58E-05,-1.60E-04,1.85E-04
39.81543,6.25E-05,-1.81E-04,2.12E-04
40.02448,5.83E-05,-1.83E-04,2.30E-04
40.23421,5.35E-05,-1.37E-04,2.08E-04
40.44195,1.87E-05,-1.12E-04,1.79E-04
40.64981,-1.67E-05,-6.88E-05,1.91E-04
40.85869,-2.30E-05,-3.73E-05,1.34E-04
41.0677,1.13E-07,-2.74E-05,1.17E-04
41.27633,2.70E-06,3.09E-05,9.23E-05
41.48464,-2.52E-05,1.77E-05,6.86E-05
41.69496,-3.40E-05,-8.30E-06,2.45E-05
41.90248,-1.25E-05,2.51E-05,3.36E-06
42.10619,-5.02E-05,4.85E-05,-2.41E-05
42.31411,-5.92E-05,8.79E-05,-2.37E-05
42.52363,-6.89E-05,1.44E-04,-3.37E-05
42.73032,-6.78E-05,1.70E-04,-4.08E-05
42.9366,-6.65E-05,1.44E-04,-3.69E-05
43.14522,-5.57E-05,1.85E-04,-7.40E-05
43.35394,-5.48E-05,2.33E-04,-6.05E-05
43.56312,-9.37E-05,2.19E-04,-5.67E-05
43.77227,-1.32E-04,2.72E-04,-7.23E-05
43.98225,-9.04E-05,2.82E-04,-7.80E-05
44.19247,-1.08E-04,3.00E-04,-8.33E-05
44.40004,-1.45E-04,3.16E-04,-7.64E-05
44.60811,-1.00E-04,3.10E-04,-7.95E-05
44.81737,-1.16E-04,3.60E-04,-9.30E-05
45.02682,-1.20E-04,3.47E-04,-1.06E-04
45.23494,-1.64E-04,3.72E-04,-9.87E-05
45.44279,-8.56E-05,3.45E-04,-8.05E-05
45.6513,-1.07E-04,3.74E-04,-7.27E-05
45.85738,-1.06E-04,3.82E-04,-9.31E-05
46.06556,-1.24E-04,3.85E-04,-2.48E-05
46.27348,-7.16E-05,4.06E-04,1.36E-05
46.48332,-5.76E-05,4.12E-04,3.02E-05
46.69244,-6.19E-05,4.35E-04,1.16E-04
46.9003,-1.42E-05,3.95E-04,1.69E-04
47.10933,-3.51E-05,4.02E-04,1.68E-04
47.31837,-4.22E-06,3.65E-04,1.71E-04
47.52807,8.46E-06,3.34E-04,2.08E-04
47.73829,2.61E-06,3.49E-04,2.36E-04
47.94786,4.78E-05,2.71E-04,2.76E-04
48.15681,8.35E-05,2.39E-04,3.16E-04
48.36556,5.91E-05,2.74E-04,3.46E-04
48.5768,6.34E-05,2.63E-04,3.10E-04
48.78566,1.27E-04,1.71E-04,3.03E-04
48.99205,7.85E-05,1.76E-04,2.94E-04
49.19879,1.78E-05,1.68E-04,2.69E-04
49.40779,3.51E-06,1.23E-04,2.44E-04
49.61825,6.52E-05,3.27E-05,1.79E-04
49.82296,4.39E-05,-5.95E-06,1.43E-04
50.02936,3.76E-05,-2.04E-05,7.33E-05
50.23844,-1.50E-05,-2.20E-05,-2.11E-06
50.44782,-1.36E-05,-1.08E-04,-8.07E-05
50.65711,3.11E-05,-2.09E-04,-1.90E-04
50.86686,2.93E-05,-2.44E-04,-2.89E-04
51.07482,-1.77E-05,-2.32E-04,-3.50E-04
51.28527,-5.12E-05,-2.48E-04,-4.00E-04
51.4939,-6.87E-05,-2.96E-04,-4.58E-04
51.70164,-7.01E-05,-2.98E-04,-5.13E-04
51.91,-9.56E-05,-3.35E-04,-5.16E-04
52.11749,-1.04E-04,-3.35E-04,-4.41E-04
52.3254,-1.35E-04,-3.10E-04,-3.50E-04
52.53403,-8.89E-05,-3.28E-04,-1.90E-04
52.74116,-2.37E-05,-3.17E-04,3.60E-05
52.95081,-3.10E-05,-2.10E-04,3.50E-04
53.15822,-4.78E-05,-8.16E-05,7.54E-04
53.36703,-1.55E-05,8.53E-05,0.00124
53.57484,2.77E-05,2.74E-04,0.00186
53.77701,1.25E-04,5.42E-04,0.00263
53.98292,1.70E-04,8.66E-04,0.00357
54.19381,2.63E-04,0.00127,0.00469
54.40025,3.99E-04,0.00178,0.00607
54.60914,5.94E-04,0.00233,0.00777
54.81868,7.90E-04,0.00293,0.00977
55.02727,0.00105,0.00371,0.01221
55.23668,0.00133,0.00465,0.0151
55.44584,0.00167,0.00574,0.01855
55.6537,0.00205,0.00707,0.02267
55.86421,0.00251,0.00864,0.02752
56.07365,0.00301,0.0105,0.03319
56.28331,0.00355,0.01272,0.03979
56.49149,0.00426,0.01542,0.0473
56.70083,0.00519,0.01844,0.05583
56.90876,0.00618,0.02199,0.0654
57.11609,0.00732,0.02612,0.07579
57.32419,0.00866,0.03071,0.08679
57.53344,0.01011,0.03577,0.09801
57.7371,0.01185,0.04121,0.10914
57.94384,0.01376,0.0469,0.11958
58.15158,0.01577,0.05259,0.12861
58.35834,0.01781,5.81E-02,0.13561
58.56529,0.01985,0.06288,0.13988
58.77366,0.02184,0.06662,0.14101
58.98223,0.0235,0.06905,0.13881
59.19219,0.02468,0.06986,0.13341
59.40087,0.02544,0.06881,0.12488
59.61011,0.02554,0.06597,0.11396
59.82011,0.02487,0.06162,0.10156
60.02938,0.02361,0.056,0.0885
60.2381,0.02182,0.04951,0.07576
60.44625,0.0196,0.04282,0.0641
60.65512,0.01726,0.03629,0.05399
60.86608,0.01489,0.0304,0.04587
61.07589,0.01268,0.02551,0.03985
61.28488,0.01091,0.02163,0.03588
61.49096,0.0095,0.01893,0.03377
61.69963,0.00853,0.01727,0.03324
61.9092,0.00798,0.01652,0.03395
62.11733,0.00774,0.01661,0.03566
62.32479,0.0079,0.0172,0.03812
62.53464,0.00825,0.0183,0.04117
62.74197,0.00879,0.0197,0.04467
62.95089,0.00943,0.02148,0.04858
63.16022,0.01021,0.02342,0.05277
63.36844,0.01106,0.02557,0.0573
63.57632,0.01193,0.02783,0.06205
63.78502,0.01287,0.03021,0.0671
63.99327,0.01384,0.03275,0.07228
64.20369,0.01486,0.03534,0.07772
64.41352,0.01589,0.03805,0.08339
64.62289,0.01691,0.04083,0.08927
64.83008,0.01792,0.04366,0.09526
65.0381,0.01892,0.04652,0.10136
65.24739,0.01998,0.04941,0.10748
65.45642,0.02092,0.05229,0.11356
65.66076,0.02188,0.05511,0.11956
65.86929,0.02274,0.05781,0.12542
66.07889,0.02354,0.06035,0.13103
66.28496,0.02428,0.06271,0.13622
66.4936,0.02486,0.06495,0.14091
66.70153,0.02534,0.06684,0.14503
66.91043,0.02562,0.06847,0.14842
67.12057,0.02585,0.06969,0.15109
67.33006,0.02593,0.0705,0.15295
67.53944,0.02595,0.07097,0.15404
67.7487,0.02584,0.07109,0.1544
67.95574,0.0257,0.07086,0.15406
68.1629,0.02545,0.07034,0.15314
68.3718,0.02511,0.06962,0.15169
68.58164,0.02472,0.06874,0.14999
68.79223,0.02434,0.06781,0.14807
68.99965,0.02404,0.06684,0.1461
69.20832,0.0237,0.06585,0.14416
69.41591,0.02343,0.06499,0.14236
69.62086,0.02321,0.06421,0.14078
69.83023,0.02302,0.06357,0.13944
70.03819,0.0229,0.06307,0.13846
70.24718,0.02283,0.0627,0.13776
70.45607,0.02281,0.06251,0.13734
70.66622,0.02284,0.06244,0.13724
70.87605,0.02287,0.06249,0.13729
71.0838,0.0229,0.06261,0.13758
71.29202,0.02293,0.06277,0.138
71.50056,0.02301,0.06294,0.13843
71.70744,0.02299,0.06313,0.13878
71.91577,0.02297,0.06327,0.13902
72.1239,0.02289,0.06333,0.13905
72.33336,0.02277,0.06328,0.13885
72.54216,0.02258,0.06311,0.13839
72.75036,0.0223,0.06275,0.13756
72.95946,0.02197,0.06219,0.1363
73.16911,0.02156,0.06141,0.13465
73.37478,0.02107,0.06045,0.1326
73.57914,0.0205,0.05923,0.13007
73.78897,0.01986,0.05777,0.12701
73.99742,0.01913,0.05603,0.12345
74.20522,0.01833,0.05415,0.11945
74.41456,0.01746,0.05208,0.11507
74.62242,0.01658,0.04982,0.11033
74.83113,0.01567,0.04743,0.1053
75.04023,0.01476,0.04494,0.10009
75.24826,0.01385,0.04239,0.09472
75.4573,0.01291,0.0398,0.0893
75.66487,0.012,0.03722,0.08393
75.87477,0.01113,0.03469,0.07859
76.08316,0.01035,0.03226,0.0734
76.29121,0.0096,0.02998,0.06858
76.50101,0.00894,0.0278,0.06404
76.70939,0.0083,0.02587,0.05983
76.91911,0.00774,0.0241,0.05613
