Temp,RAWCP(Data1),RAWCP(Data3),RAWCP(Data5)
40.42937,-0.49104,-0.60547,-0.73115
40.63822,-0.49079,-0.6051,-0.73066
40.84725,-0.49056,-0.60479,-0.73019
41.05642,-0.49033,-0.60444,-0.7297
41.26638,-0.4901,-0.60408,-0.72921
41.47383,-0.48988,-0.60374,-0.72872
41.68149,-0.48963,-0.60337,-0.72823
41.89002,-0.4894,-0.60302,-0.72774
42.09321,-0.48918,-0.60266,-0.72721
42.3022,-0.48896,-0.60233,-0.7267
42.51091,-0.48874,-0.60197,-0.72623
42.71968,-0.48851,-0.60164,-0.72578
42.92702,-0.48825,-0.60128,-0.72531
43.13603,-0.48799,-0.60091,-0.72486
43.3455,-0.48776,-0.60056,-0.72443
43.55164,-0.48752,-0.60022,-0.72394
43.76084,-0.4873,-0.59988,-0.72348
43.97052,-0.48704,-0.59948,-0.72299
44.17986,-0.48677,-0.59911,-0.72251
44.38756,-0.48654,-0.59876,-0.72205
44.59594,-0.48627,-0.59838,-0.72154
44.80517,-0.48601,-0.598,-0.72104
45.01485,-0.48573,-0.59761,-0.72054
45.22354,-0.48547,-0.59728,-0.72005
45.43284,-0.48518,-0.5969,-0.71954
45.64238,-0.48491,-0.59652,-0.71905
45.85056,-0.48463,-0.59613,-0.7185
46.05656,-0.48437,-0.59574,-0.71799
46.26384,-0.48411,-0.59535,-0.71746
46.4709,-0.48383,-0.59496,-0.71692
46.67705,-0.48358,-0.59462,-0.71644
46.88765,-0.48325,-0.59419,-0.71587
47.09568,-0.48295,-0.59377,-0.71533
47.3029,-0.48266,-0.59338,-0.71478
47.5114,-0.48235,-0.59296,-0.71425
47.72031,-0.48207,-0.59258,-0.71373
47.93005,-0.48178,-0.5922,-0.71317
48.13807,-0.48145,-0.59176,-0.71262
48.34647,-0.4812,-0.5914,-0.71211
48.55425,-0.48095,-0.59104,-0.71161
48.76192,-0.48064,-0.59061,-0.71102
48.97298,-0.48035,-0.5902,-0.71047
49.1813,-0.4801,-0.58983,-0.70995
49.39034,-0.47985,-0.58948,-0.70944
49.59952,-0.47951,-0.58904,-0.70883
49.80433,-0.47921,-0.58861,-0.70826
50.01035,-0.47894,-0.58824,-0.70772
50.21926,-0.47871,-0.58788,-0.70725
50.42825,-0.47847,-0.58749,-0.70672
50.63474,-0.47815,-0.58703,-0.7061
50.84286,-0.4778,-0.58658,-0.70552
51.05237,-0.47751,-0.58616,-0.70497
51.26205,-0.47725,-0.58571,-0.70439
51.46974,-0.477,-0.58531,-0.70384
51.67834,-0.47673,-0.58494,-0.70329
51.88612,-0.4765,-0.58453,-0.70273
52.09614,-0.47622,-0.58412,-0.70217
52.30451,-0.47593,-0.58366,-0.70159
52.51152,-0.47562,-0.5832,-0.70096
52.72082,-0.4752,-0.58266,-0.70026
52.92889,-0.47483,-0.58211,-0.69959
53.13761,-0.47448,-0.58162,-0.69896
53.34608,-0.47413,-0.58113,-0.69832
53.55337,-0.47379,-0.58064,-0.69766
53.75814,-0.47344,-0.58016,-0.69703
53.96492,-0.47307,-0.57966,-0.69636
54.17378,-0.47277,-0.57919,-0.69574
54.38126,-0.47253,-0.57879,-0.69516
54.59055,-0.47224,-0.57834,-0.69453
54.79978,-0.47191,-0.57786,-0.69385
55.00746,-0.47153,-0.57736,-0.69315
55.21558,-0.47115,-0.57683,-0.69242
55.42476,-0.47078,-0.57631,-0.69168
55.63322,-0.47038,-0.57574,-0.69092
55.843,-0.46998,-0.57519,-0.69015
56.05216,-0.46959,-0.57464,-0.68937
56.2603,-0.46924,-0.5741,-0.68863
56.46923,-0.46894,-0.57365,-0.68798
56.67785,-0.46859,-0.57312,-0.68723
56.88705,-0.46819,-0.57256,-0.68649
57.0963,-0.46778,-0.572,-0.68571
57.30637,-0.46738,-0.57141,-0.68491
57.51484,-0.46702,-0.57084,-0.68417
57.72016,-0.46664,-0.57027,-0.68338
57.92618,-0.4662,-0.56966,-0.68254
58.13314,-0.46576,-0.56901,-0.68168
58.34292,-0.46536,-0.5684,-0.68086
58.55306,-0.46498,-0.56781,-0.68001
58.76096,-0.46454,-0.56714,-0.67907
58.96864,-0.46406,-0.56645,-0.67814
59.17697,-0.46364,-0.56581,-0.67725
59.38399,-0.46323,-0.56517,-0.67629
59.59393,-0.46273,-0.56442,-0.67524
59.80354,-0.46226,-0.5637,-0.67427
60.01263,-0.46184,-0.56301,-0.67326
60.22098,-0.46138,-0.56222,-0.67215
60.43107,-0.46093,-0.56146,-0.67105
60.63945,-0.46051,-0.5607,-0.66987
60.84818,-0.46002,-0.55986,-0.66865
61.05724,-0.45957,-0.55907,-0.66741
61.26571,-0.45909,-0.5582,-0.66609
61.47464,-0.45855,-0.55728,-0.66469
61.68255,-0.45803,-0.55637,-0.66324
61.89121,-0.45748,-0.55541,-0.66167
62.10001,-0.45696,-0.55445,-0.66007
62.31026,-0.45642,-0.55338,-0.65838
62.52042,-0.4559,-0.55229,-0.65663
62.73086,-0.45538,-0.55113,-0.65475
62.94181,-0.45483,-0.5499,-0.65273
63.15096,-0.45429,-0.5486,-0.65051
63.3586,-0.45374,-0.54724,-0.64816
63.56677,-0.45317,-0.54581,-0.64567
63.77535,-0.45255,-0.54426,-0.64303
63.98305,-0.45194,-0.54266,-0.6402
64.19018,-0.45128,-0.54092,-0.63716
64.39586,-0.45064,-0.53909,-0.63393
64.60494,-0.44994,-0.53716,-0.63046
64.81545,-0.44928,-0.53507,-0.62671
65.02361,-0.44857,-0.53287,-0.62274
65.23315,-0.44781,-0.5305,-0.61847
65.4395,-0.44704,-0.52799,-0.61392
65.64269,-0.4462,-0.52531,-0.60901
65.85376,-0.44532,-0.52251,-0.60385
66.06191,-0.44442,-0.51949,-0.59828
66.27157,-0.44349,-0.51626,-0.59233
66.48096,-0.44249,-0.5128,-0.58591
66.68952,-0.44142,-0.50908,-0.57899
66.89754,-0.44032,-0.50516,-0.5715
67.10557,-0.43915,-0.50093,-0.56345
67.3116,-0.43786,-0.49632,-0.55476
67.52087,-0.43652,-0.49132,-0.54527
67.73157,-0.43512,-0.48589,-0.53492
67.94205,-0.43369,-0.48002,-0.52357
68.15057,-0.43222,-0.47359,-0.51116
68.35839,-0.43066,-0.46659,-0.49754
68.56866,-0.42906,-0.45889,-0.48249
68.77732,-0.42742,-0.45056,-0.46581
68.98608,-0.42576,-0.44137,-0.4474
69.19404,-0.42405,-0.43127,-0.42683
69.39875,-0.42239,-0.42016,-0.40385
69.60524,-0.4207,-0.4079,-0.37787
69.81481,-0.41905,-0.39431,-0.34845
70.02261,-0.41737,-0.37904,-0.31489
70.23016,-0.41568,-0.36199,-0.27648
70.43898,-0.41401,-0.34283,-0.2325
70.64734,-0.41233,-0.32111,-0.18229
70.85385,-0.4106,-0.29674,-0.12563
71.06408,-0.40887,-0.26947,-0.06285
71.27373,-0.40718,-0.23944,0.00487
71.48297,-0.40551,-0.20703,0.07509
71.69238,-0.40388,-0.17332,0.14398
71.9013,-0.40231,-0.13995,0.20646
72.10834,-0.40086,-0.10933,0.25654
72.3182,-0.39966,-0.08442,0.28827
72.52613,-0.39875,-0.06824,0.2969
72.73461,-0.39821,-0.06346,0.28018
72.94377,-0.39812,-0.07149,0.2394
73.15215,-0.39857,-0.09191,0.17907
73.35773,-0.39952,-0.12248,0.10643
73.56207,-0.40091,-0.15956,0.02944
73.77237,-0.40265,-0.199,-0.04489
73.98183,-0.40454,-0.23712,-0.11181
74.1899,-0.40641,-0.27148,-0.16933
74.39847,-0.40815,-0.3011,-0.21775
74.60733,-0.40973,-0.32605,-0.25837
74.81611,-0.41105,-0.34697,-0.29297
75.02561,-0.41212,-0.3646,-0.32288
75.23303,-0.41299,-0.37973,-0.34914
75.43997,-0.41367,-0.39277,-0.37221
75.64764,-0.41418,-0.40405,-0.39257
75.85849,-0.41452,-0.41368,-0.41018
76.06765,-0.41472,-0.4219,-0.42538
76.27709,-0.41481,-0.42877,-0.43833
76.48589,-0.41479,-0.43441,-0.44918
76.69359,-0.41469,-0.439,-0.45814
76.90311,-0.41447,-0.44257,-0.46536
77.11478,-0.41419,-0.44526,-0.47115
77.32124,-0.41388,-0.44719,-0.47556
77.52796,-0.41351,-0.44845,-0.47878
77.73525,-0.41307,-0.44914,-0.48095
77.94244,-0.4126,-0.44937,-0.48216
78.14969,-0.41214,-0.44914,-0.48255
78.35601,-0.41162,-0.44855,-0.48218
78.56537,-0.41106,-0.44761,-0.48113
78.77203,-0.4105,-0.4464,-0.47944
78.98232,-0.40992,-0.44492,-0.47722
79.19115,-0.40931,-0.44314,-0.47445
