Temp,scan1(subtrac buffer),scan2,scan3
40.64981,-0.03235,-0.07466,-0.13719
40.85869,-0.0323,-0.07454,-0.13709
41.0677,-0.03222,-0.07444,-0.13695
41.27633,-0.03216,-0.07429,-0.13682
41.48464,-0.03213,-0.07421,-0.13669
41.69496,-0.03208,-0.07414,-0.13658
41.90248,-0.032,-0.07401,-0.13645
42.10619,-0.03198,-0.07389,-0.13633
42.31411,-0.03193,-0.07375,-0.13618
42.52363,-0.03188,-0.07359,-0.13604
42.73032,-0.03182,-0.07346,-0.1359
42.9366,-0.03176,-0.07338,-0.13575
43.14522,-0.03169,-0.07323,-0.13564
43.35394,-0.03163,-0.07307,-0.13548
43.56312,-0.03161,-0.07297,-0.13533
43.77227,-0.03159,-0.0728,-0.1352
43.98225,-0.03149,-0.07267,-0.13506
44.19247,-0.03145,-0.07253,-0.13492
44.40004,-0.03143,-0.07239,-0.13477
44.60811,-0.03133,-0.07227,-0.13463
44.81737,-0.03129,-0.07209,-0.1345
45.02682,-0.03124,-0.07197,-0.13437
45.23494,-0.03123,-0.07181,-0.13422
45.44279,-0.0311,-0.0717,-0.13406
45.6513,-0.03107,-0.07153,-0.13391
45.85738,-0.03102,-0.07138,-0.13379
46.06556,-0.03099,-0.07123,-0.13358
46.27348,-0.03089,-0.07106,-0.1334
46.48332,-0.03083,-0.0709,-0.13324
46.69244,-0.03079,-0.07072,-0.13301
46.9003,-0.0307,-0.0706,-0.13281
47.10933,-0.03068,-0.07043,-0.13266
47.31837,-0.03061,-0.0703,-0.1325
47.52807,-0.03056,-0.07016,-0.1323
47.73829,-0.03053,-0.06997,-0.1321
47.94786,-0.03045,-0.06987,-0.13188
48.15681,-0.03038,-0.06972,-0.13165
48.36556,-0.03037,-0.0695,-0.13142
48.5768,-0.03033,-0.06932,-0.13124
48.78566,-0.03023,-0.06922,-0.13102
48.99205,-0.03024,-0.06902,-0.13079
49.19879,-0.03026,-0.06883,-0.13056
49.40779,-0.03023,-0.06867,-0.13031
49.61825,-0.03012,-0.06855,-0.13008
49.82296,-0.03009,-0.06838,-0.12981
50.02936,-0.03004,-0.06818,-0.12955
50.23844,-0.03003,-0.06796,-0.12927
50.44782,-0.02996,-0.06782,-0.12897
50.65711,-0.02984,-0.06769,-0.12868
50.86686,-0.02976,-0.06749,-0.12836
51.07482,-0.02972,-0.06724,-0.12799
51.28527,-0.02966,-0.06701,-0.12759
51.4939,-0.02958,-0.06681,-0.12719
51.70164,-0.02948,-0.06656,-0.12678
51.91,-0.0294,-0.06634,-0.12631
52.11749,-0.0293,-0.06608,-0.12576
52.3254,-0.02922,-0.06579,-0.12519
52.53403,-0.02906,-0.06554,-0.12455
52.74116,-0.02888,-0.06526,-0.12385
52.95081,-0.02877,-0.06488,-0.12306
53.15822,-0.02867,-0.06448,-0.12219
53.36703,-0.02852,-0.06404,-0.12124
53.57484,-0.02836,-0.06358,-0.12016
53.77701,-0.02815,-0.06305,-0.11895
53.98292,-0.02799,-0.06246,-0.11756
54.19381,-0.02778,-0.06179,-0.11599
54.40025,-0.02753,-0.06101,-0.11417
54.60914,-0.02722,-0.0602,-0.11203
54.81868,-0.02691,-0.05933,-0.10959
55.02727,-0.02654,-0.05829,-0.10672
55.23668,-0.02614,-0.05709,-0.1034
55.44584,-0.02569,-0.05574,-0.09952
55.6537,-0.0252,-0.05416,-0.09498
55.86421,-0.02463,-0.05233,-0.08971
56.07365,-0.02402,-0.05021,-0.08363
56.28331,-0.02336,-0.04774,-0.07661
56.49149,-0.02254,-0.04479,-0.0687
56.70083,-0.02151,-0.04152,-0.05977
56.90876,-0.02041,-0.03772,-0.0498
